"lon","lat","dir","lbl"
160,-85,"°E","160°E"
140,-85,"°E","140°E"
120,-85,"°E","120°E"
100,-85,"°E","100°E"
80,-85,"°E","80°E"
60,-85,"°E","60°E"
40,-85,"°E","40°E"
20,-85,"°E","20°E"
0,-85,"","0"
-20,-85,"°W","20°W"
-40,-85,"°W","40°W"
-60,-85,"°W","60°W"
-80,-85,"°W","80°W"
-100,-85,"°W","100°W"
-120,-85,"°W","120°W"
-140,-85,"°W","140°W"
-160,-85,"°W","160°W"
160,85,"°E","160°E"
140,85,"°E","140°E"
120,85,"°E","120°E"
100,85,"°E","100°E"
80,85,"°E","80°E"
60,85,"°E","60°E"
40,85,"°E","40°E"
20,85,"°E","20°E"
0,85,"","0"
-20,85,"°W","20°W"
-40,85,"°W","40°W"
-60,85,"°W","60°W"
-80,85,"°W","80°W"
-100,85,"°W","100°W"
-120,85,"°W","120°W"
-140,85,"°W","140°W"
-160,85,"°W","160°W"
